,x,y,z,n,r,p,r,n+p
304,64.643,2.083,-47.5,0.0075463,0.106764,0.116206,0.141022,0.1237523
304,64.643,2.083,-42.5,0.00579351,0.0511059,0.107917,0.132981,0.11371051
304,64.643,2.083,-37.5,0.00670286,0.077903,0.103343,0.124838,0.11004586
304,64.643,2.083,-32.5,0.00774222,0.109204,0.108217,0.137645,0.11595922
304,64.643,2.083,-27.5,0.00742139,0.10781,0.13274,0.124566,0.14016139
304,64.643,2.083,-22.5,0.00912838,0.123257,0.145762,0.117726,0.15489038
304,64.643,2.083,-17.5,0.00925983,0.109671,0.143439,0.117441,0.15269883
304,64.643,2.083,-12.5,0.00953938,0.115542,0.145748,0.11284,0.15528738
304,64.643,2.083,-7.5,0.00954859,0.122211,0.14658,0.107586,0.15612859
304,64.643,2.083,-2.5,0.00936421,0.106444,0.140209,0.117283,0.14957321
304,64.643,2.083,2.5,0.00967185,0.105573,0.141015,0.109971,0.15068685
304,64.643,2.083,7.5,0.00943207,0.0987468,0.134941,0.11856,0.14437307
304,64.643,2.083,12.5,0.0127861,0.119369,0.13251,0.109684,0.1452961
304,64.643,2.083,17.5,0.00873552,0.0826821,0.117233,0.12196,0.12596852
304,64.643,2.083,22.5,0.00830944,0.0784999,0.148687,0.104345,0.15699644
304,64.643,2.083,27.5,0.00853277,0.0952205,0.140731,0.10531,0.14926377
304,64.643,2.083,32.5,0.00753093,0.0699768,0.143011,0.1124,0.15054193
304,64.643,2.083,37.5,0.00728386,0.0844568,0.126819,0.116117,0.13410286
304,64.643,2.083,42.5,0.00820072,0.0981659,0.100865,0.138826,0.10906572
304,64.643,2.083,47.5,0.00954765,0.122533,0.0921721,0.137162,0.10171975
304,64.643,6.25,-47.5,0.00735884,0.0730924,0.091431,0.131454,0.09878984
304,64.643,6.25,-42.5,0.00784635,0.0895278,0.116163,0.125932,0.12400935
304,64.643,6.25,-37.5,0.00956948,0.110503,0.139391,0.113048,0.14896048
304,64.643,6.25,-32.5,0.00900724,0.098401,0.117804,0.107144,0.12681124
304,64.643,6.25,-27.5,0.00816168,0.0808682,0.122772,0.113003,0.13093368
304,64.643,6.25,-22.5,0.00804123,0.10085,0.131196,0.109907,0.13923723
304,64.643,6.25,-17.5,0.00886077,0.0619726,0.161949,0.0979838,0.17080977
304,64.643,6.25,-12.5,0.0113508,0.110605,0.157474,0.105558,0.1688248
304,64.643,6.25,-7.5,0.008692,0.0621185,0.173267,0.0998079,0.181959
304,64.643,6.25,-2.5,0.0095598,0.0915299,0.148551,0.104634,0.1581108
